timestamps,stimulus,TP9,AF7,AF8,TP10,Right AUX
1758510883.2260313,STAR,-47.36328125,-88.37890625,-82.51953125,-50.29296875,-313.96484375
1758510883.2299376,STAR,-75.68359375,-83.49609375,-78.125,-56.640625,-232.421875
1758510883.2338438,STAR,-76.66015625,-64.453125,-89.35546875,-55.6640625,-193.359375
1758510883.23775,STAR,-42.48046875,-52.24609375,-103.02734375,-42.96875,-200.68359375
1758510883.2416563,STAR,-35.15625,-57.6171875,-101.5625,-36.62109375,75.68359375
1758510883.2455626,STAR,-57.12890625,-54.6875,-93.75,-28.80859375,591.30859375
1758510883.2494688,STAR,-60.546875,-60.05859375,-99.609375,-25.390625,190.91796875
1758510883.253375,STAR,-34.1796875,-69.82421875,-106.93359375,-25.87890625,-398.4375
1758510883.2572813,STAR,-12.20703125,-61.5234375,-82.51953125,-16.6015625,8.7890625
1758510883.2611876,STAR,-28.3203125,-60.546875,-63.96484375,-6.34765625,200.68359375
1758510883.2650938,STAR,-54.19921875,-56.640625,-41.50390625,-16.11328125,-236.328125
1758510883.267125,RECT,-30.2734375,-58.59375,-26.85546875,-17.578125,-361.81640625
1758510883.2710311,RECT,-10.7421875,-50.29296875,-54.6875,-13.671875,-26.85546875
1758510883.2749374,RECT,-45.41015625,-43.45703125,-78.125,-31.25,160.64453125
1758510883.2788436,RECT,-76.171875,-52.734375,-84.47265625,-47.36328125,-212.40234375
1758510883.28275,RECT,-58.10546875,-45.41015625,-85.9375,-31.25,-327.63671875
1758510883.2866561,RECT,-30.2734375,-44.43359375,-106.93359375,-14.6484375,289.0625
1758510883.2905624,RECT,-27.34375,-56.640625,-118.1640625,-11.71875,458.49609375
1758510883.2944686,RECT,-38.0859375,-60.546875,-104.98046875,-15.13671875,-64.94140625
1758510883.298375,RECT,-29.78515625,-52.734375,-92.7734375,-11.23046875,-261.71875
1758510883.3022811,RECT,3.90625,-39.55078125,-69.3359375,5.859375,101.5625
1758510883.3061874,RECT,0.0,-47.36328125,-61.03515625,2.9296875,501.46484375
1758510883.3100936,RECT,-37.59765625,-59.08203125,-62.01171875,-13.671875,-57.12890625
1758510883.327125,RECT,-42.48046875,-49.31640625,-57.12890625,-19.53125,-291.015625
1758510883.3310313,RECT,-22.94921875,-52.24609375,-74.70703125,-20.99609375,-59.5703125
1758510883.3349376,RECT,-5.37109375,-55.17578125,-88.37890625,-17.08984375,-78.125
1758510883.3388438,RECT,-15.13671875,-50.29296875,-84.9609375,-18.06640625,-303.7109375
1758510883.34275,RECT,-33.69140625,-43.9453125,-97.16796875,-21.97265625,-284.1796875
1758510883.3466563,RECT,-19.53125,-28.80859375,-106.93359375,-14.16015625,36.62109375
1758510883.3505626,RECT,6.34765625,-29.78515625,-89.84375,-7.8125,231.4453125
1758510883.3544688,RECT,-3.90625,-41.015625,-74.70703125,-7.8125,-86.9140625
1758510883.358375,RECT,-32.2265625,-51.26953125,-86.9140625,-7.32421875,-277.83203125
